time_s,U1_V,I1_A,U2_V,I2_A
3.82595849129e-10,7.15058083856e-08,0.003942494331,-0.0,3.8299948559677666
3.83910611497e-10,7.15362231674e-08,0.003942494331,-0.0,3.8529881687258634
3.85225373865e-10,7.15590031675e-08,0.003942494331,-0.0,3.8653269890237874
3.8916966097e-10,7.15449806066e-08,0.003942494331,-0.0,3.899994855967767
3.90484423338e-10,7.15179941935e-08,0.003942494331,-0.0,3.909994855967767
3.91799185706e-10,7.14901977616e-08,0.003942494331,-0.0,3.929989711935534
3.93113948074e-10,7.14722920847e-08,0.003942494331,-0.0,3.942993312758097
3.94428710442e-10,7.14667676149e-08,0.003942494331,-0.0,3.954743955759893
3.99687759915e-10,7.15182890687e-08,0.0003960746617126779,-0.0,4.009989711935533
4.01002522283e-10,7.15244317107e-08,0.0003942494331,-0.0,4.0199948559677665
